,trace,input_x_seq_len,true_x,true_y,pred_y,is_correct
42,42,3,019 -> 001 -> 002,3,2,False
43,43,1,019,1,2,False
44,44,7,019 -> 001 -> 007 -> 008 -> 001 -> 011 -> 002,3,2,False
45,45,3,019 -> 001 -> 011,2,2,True
46,46,1,019,1,2,False
47,47,4,019 -> 001 -> 011 -> 012,2,2,True
48,48,4,019 -> 001 -> 005 -> 002,3,2,False
49,49,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
50,50,8,019 -> 001 -> 011 -> 010 -> 008 -> 001 -> 011 -> 002,3,2,False
51,51,1,019,1,2,False
52,52,1,019,1,2,False
53,53,6,019 -> 001 -> 014 -> 008 -> 001 -> 014,8,8,True
54,54,9,019 -> 001 -> 011 -> 010 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
55,55,2,019 -> 001,11,14,False
56,56,2,019 -> 001,11,14,False
57,57,3,019 -> 001 -> 011,12,2,False
58,58,3,019 -> 001 -> 014,8,8,True
59,59,1,019,1,2,False
60,60,2,019 -> 001,11,14,False
61,61,2,019 -> 001,2,14,False
62,62,2,019 -> 001,11,14,False
63,63,3,019 -> 001 -> 011,2,2,True
64,64,1,019,1,2,False
65,65,4,019 -> 001 -> 011 -> 010,8,8,True
66,66,1,019,1,2,False
67,67,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
68,68,5,019 -> 001 -> 011 -> 010 -> 008,20,8,False
69,69,1,019,1,2,False
70,70,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
71,71,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
72,72,4,019 -> 001 -> 011 -> 002,3,2,False
73,73,3,019 -> 001 -> 011,2,2,True
74,74,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
75,75,6,019 -> 001 -> 005 -> 002 -> 003 -> 004,20,20,True
76,76,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
77,77,3,019 -> 001 -> 011,2,2,True
78,78,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
79,79,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
80,80,4,019 -> 001 -> 011 -> 012,2,2,True
81,81,2,019 -> 001,11,14,False
82,82,4,019 -> 001 -> 002 -> 003,4,4,True
83,83,3,019 -> 001 -> 011,12,2,False
84,84,1,019,1,2,False
85,85,1,019,1,2,False
86,86,5,019 -> 001 -> 014 -> 008 -> 001,11,14,False
87,87,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
88,88,3,019 -> 001 -> 011,12,2,False
89,89,1,019,1,2,False
90,90,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
91,91,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
92,92,3,019 -> 001 -> 011,2,2,True
93,93,1,019,1,2,False
94,94,3,019 -> 001 -> 011,2,2,True
95,95,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
96,96,3,019 -> 001 -> 011,2,2,True
97,97,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
98,98,3,019 -> 001 -> 002,3,2,False
99,99,1,019,1,2,False
100,100,3,019 -> 001 -> 011,2,2,True
101,101,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
102,102,4,019 -> 001 -> 005 -> 002,3,2,False
103,103,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
104,104,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
105,105,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
106,106,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
107,107,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
108,108,2,019 -> 001,11,14,False
109,109,11,019 -> 001 -> 014 -> 008 -> 001 -> 014 -> 008 -> 001 -> 011 -> 012 -> 002,3,2,False
110,110,1,019,1,2,False
111,111,4,019 -> 001 -> 014 -> 008,20,8,False
112,112,2,019 -> 001,14,14,True
113,113,3,019 -> 001 -> 011,12,2,False
114,114,3,019 -> 001 -> 011,2,2,True
115,115,2,019 -> 001,11,14,False
116,116,3,019 -> 001 -> 011,2,2,True
117,117,4,019 -> 001 -> 011 -> 012,2,2,True
118,118,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
119,119,2,019 -> 001,11,14,False
120,120,5,019 -> 001 -> 011 -> 016 -> 008,1,8,False
121,121,3,019 -> 001 -> 011,2,2,True
122,122,4,019 -> 001 -> 014 -> 008,1,8,False
123,123,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
124,124,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
125,125,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
126,126,2,019 -> 001,11,14,False
127,127,2,019 -> 001,11,14,False
128,128,2,019 -> 001,14,14,True
129,129,7,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002,3,2,False
130,130,3,019 -> 001 -> 011,2,2,True
131,131,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
132,132,4,019 -> 001 -> 002 -> 003,4,4,True
133,133,3,019 -> 001 -> 002,3,2,False
134,134,1,019,1,2,False
135,135,3,019 -> 001 -> 002,3,2,False
136,136,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
137,137,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
138,138,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
139,139,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
140,140,2,019 -> 001,11,14,False
141,141,2,019 -> 001,11,14,False
142,142,6,019 -> 001 -> 014 -> 008 -> 001 -> 011,2,2,True
143,143,3,019 -> 001 -> 011,2,2,True
144,144,1,019,1,2,False
145,145,3,019 -> 001 -> 011,2,2,True
146,146,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
147,147,6,019 -> 001 -> 011 -> 016 -> 008 -> 001,11,14,False
148,148,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
149,149,2,019 -> 001,11,14,False
150,150,3,019 -> 001 -> 011,2,2,True
151,151,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
152,152,3,019 -> 001 -> 014,8,8,True
153,153,1,019,1,2,False
154,154,2,019 -> 001,11,14,False
155,155,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
156,156,2,019 -> 001,11,14,False
157,157,6,019 -> 001 -> 005 -> 002 -> 003 -> 004,20,20,True
158,158,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
159,159,3,019 -> 001 -> 011,2,2,True
160,160,1,019,1,2,False
161,161,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
162,162,4,019 -> 001 -> 011 -> 002,3,2,False
163,163,1,019,9,2,False
164,164,1,019,1,2,False
165,165,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
166,166,2,019 -> 001,10,14,False
167,167,3,019 -> 001 -> 011,2,2,True
168,168,1,019,1,2,False
169,169,2,019 -> 001,11,14,False
170,170,3,019 -> 001 -> 011,2,2,True
171,171,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
172,172,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
173,173,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
174,174,2,019 -> 001,2,14,False
175,175,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
176,176,1,019,1,2,False
177,177,4,019 -> 001 -> 007 -> 008,1,8,False
178,178,3,019 -> 001 -> 011,12,2,False
179,179,4,019 -> 001 -> 011 -> 012,2,2,True
180,180,2,019 -> 001,11,14,False
181,181,1,019,1,2,False
182,182,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
183,183,3,019 -> 001 -> 007,8,8,True
184,184,4,019 -> 001 -> 011 -> 012,2,2,True
185,185,10,019 -> 001 -> 011 -> 010 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
186,186,4,019 -> 001 -> 002 -> 003,4,4,True
187,187,1,019,1,2,False
188,188,1,019,1,2,False
189,189,2,019 -> 001,2,14,False
190,190,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
191,191,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
192,192,2,019 -> 001,2,14,False
193,193,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
194,194,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
195,195,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
196,196,8,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 012 -> 002,3,2,False
197,197,3,019 -> 001 -> 007,8,8,True
198,198,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
199,199,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
200,200,1,019,1,2,False
201,201,2,019 -> 001,11,14,False
202,202,2,019 -> 001,11,14,False
203,203,8,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
204,204,3,019 -> 001 -> 014,8,8,True
205,205,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
206,206,2,019 -> 001,11,14,False
207,207,4,019 -> 001 -> 011 -> 002,3,2,False
208,208,3,019 -> 001 -> 011,2,2,True
209,209,8,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
210,210,2,019 -> 001,5,14,False
211,211,2,019 -> 001,11,14,False
212,212,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
213,213,4,019 -> 001 -> 005 -> 002,3,2,False
214,214,1,019,1,2,False
215,215,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
216,216,1,019,1,2,False
217,217,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
218,218,3,019 -> 001 -> 011,2,2,True
219,219,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
220,220,2,019 -> 001,11,14,False
221,221,2,019 -> 001,11,14,False
222,222,3,019 -> 001 -> 002,6,2,False
223,223,2,019 -> 001,11,14,False
224,224,1,019,1,2,False
225,225,2,019 -> 001,11,14,False
226,226,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
227,227,3,019 -> 001 -> 011,2,2,True
228,228,2,019 -> 001,11,14,False
229,229,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
230,230,4,019 -> 001 -> 011 -> 012,2,2,True
231,231,4,019 -> 001 -> 011 -> 002,3,2,False
232,232,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
233,233,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
234,234,4,019 -> 001 -> 011 -> 010,8,8,True
235,235,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
236,236,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
237,237,5,019 -> 001 -> 014 -> 008 -> 001,11,14,False
238,238,10,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
239,239,1,019,1,2,False
240,240,2,019 -> 001,11,14,False
241,241,1,019,1,2,False
242,242,2,019 -> 001,11,14,False
243,243,2,019 -> 001,11,14,False
244,244,4,019 -> 001 -> 011 -> 002,3,2,False
245,245,3,019 -> 001 -> 014,8,8,True
246,246,3,019 -> 001 -> 011,12,2,False
247,247,3,019 -> 001 -> 011,2,2,True
248,248,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
249,249,3,019 -> 001 -> 002,3,2,False
250,250,4,019 -> 001 -> 002 -> 003,4,4,True
251,251,1,019,1,2,False
252,252,3,019 -> 001 -> 011,2,2,True
253,253,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
254,254,3,019 -> 001 -> 002,3,2,False
255,255,3,019 -> 001 -> 011,2,2,True
256,256,3,019 -> 001 -> 011,2,2,True
257,257,2,019 -> 001,11,14,False
258,258,10,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
259,259,3,019 -> 001 -> 011,12,2,False
260,260,5,019 -> 001 -> 011 -> 010 -> 008,1,8,False
261,261,6,019 -> 001 -> 014 -> 008 -> 001 -> 011,12,2,False
262,262,2,019 -> 001,2,14,False
263,263,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
264,264,3,019 -> 001 -> 014,8,8,True
265,265,5,019 -> 001 -> 011 -> 010 -> 008,1,8,False
266,266,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
267,267,2,019 -> 001,11,14,False
268,268,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
269,269,6,019 -> 001 -> 005 -> 002 -> 003 -> 004,20,20,True
270,270,3,019 -> 001 -> 011,2,2,True
271,271,2,019 -> 001,11,14,False
272,272,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
273,273,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
274,274,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
275,275,4,019 -> 001 -> 005 -> 002,3,2,False
276,276,4,019 -> 001 -> 011 -> 012,2,2,True
277,277,3,019 -> 001 -> 011,2,2,True
278,278,7,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 002,3,2,False
279,279,3,019 -> 001 -> 014,8,8,True
280,280,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
281,281,3,019 -> 001 -> 007,8,8,True
282,282,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
283,283,3,019 -> 001 -> 011,2,2,True
284,284,3,019 -> 001 -> 002,3,2,False
285,285,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
286,286,2,019 -> 001,11,14,False
287,287,4,019 -> 001 -> 011 -> 002,3,2,False
288,288,2,019 -> 001,11,14,False
289,289,4,019 -> 001 -> 011 -> 012,2,2,True
290,290,2,019 -> 001,11,14,False
291,291,3,019 -> 001 -> 002,3,2,False
292,292,2,019 -> 001,11,14,False
293,293,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
294,294,1,019,1,2,False
295,295,2,019 -> 001,2,14,False
296,296,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
297,297,4,019 -> 001 -> 002 -> 003,4,4,True
298,298,4,019 -> 001 -> 011 -> 002,3,2,False
299,299,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
300,300,3,019 -> 001 -> 002,3,2,False
301,301,6,019 -> 001 -> 005 -> 010 -> 008 -> 001,5,14,False
302,302,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
303,303,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
304,304,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
305,305,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
306,306,3,019 -> 001 -> 011,12,2,False
307,307,4,019 -> 001 -> 011 -> 012,2,2,True
308,308,1,019,1,2,False
309,309,1,019,1,2,False
310,310,4,019 -> 001 -> 011 -> 012,2,2,True
311,311,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
312,312,1,019,1,2,False
313,313,2,019 -> 001,11,14,False
314,314,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
315,315,2,019 -> 001,7,14,False
316,316,1,019,1,2,False
317,317,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
318,318,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
319,319,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
320,320,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
321,321,9,019 -> 001 -> 014 -> 008 -> 001 -> 014 -> 008 -> 001 -> 014,8,8,True
322,322,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
323,323,2,019 -> 001,14,14,True
324,324,1,019,1,2,False
325,325,5,019 -> 001 -> 005 -> 002 -> 006,20,1,False
326,326,2,019 -> 001,11,14,False
327,327,2,019 -> 001,11,14,False
328,328,2,019 -> 001,11,14,False
329,329,10,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
330,330,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
331,331,4,019 -> 001 -> 014 -> 008,1,8,False
332,332,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
333,333,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
334,334,12,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 010 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
335,335,6,019 -> 001 -> 005 -> 002 -> 003 -> 004,20,20,True
336,336,4,019 -> 001 -> 005 -> 002,3,2,False
337,337,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
338,338,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
339,339,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
340,340,3,019 -> 001 -> 011,2,2,True
341,341,3,019 -> 001 -> 014,8,8,True
342,342,7,019 -> 001 -> 002 -> 006 -> 001 -> 002 -> 003,4,4,True
343,343,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
344,344,3,019 -> 001 -> 011,2,2,True
345,345,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
346,346,2,019 -> 001,14,14,True
347,347,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
348,348,4,019 -> 001 -> 011 -> 002,3,2,False
349,349,3,019 -> 001 -> 005,2,2,True
350,350,4,019 -> 001 -> 007 -> 008,1,8,False
351,351,3,019 -> 001 -> 011,12,2,False
352,352,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
353,353,4,019 -> 001 -> 011 -> 012,2,2,True
354,354,3,019 -> 001 -> 011,2,2,True
355,355,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
356,356,4,019 -> 001 -> 011 -> 002,3,2,False
357,357,2,019 -> 001,11,14,False
358,358,4,019 -> 001 -> 014 -> 008,1,8,False
359,359,4,019 -> 001 -> 011 -> 002,3,2,False
360,360,3,019 -> 001 -> 011,2,2,True
361,361,4,019 -> 001 -> 011 -> 002,3,2,False
362,362,3,019 -> 001 -> 002,3,2,False
363,363,4,019 -> 001 -> 011 -> 002,3,2,False
364,364,3,019 -> 001 -> 011,2,2,True
365,365,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
366,366,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
367,367,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
368,368,2,019 -> 001,11,14,False
369,369,4,019 -> 001 -> 011 -> 002,3,2,False
370,370,1,019,1,2,False
371,371,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
372,372,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
373,373,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
374,374,3,019 -> 001 -> 005,2,2,True
375,375,2,019 -> 001,11,14,False
376,376,4,019 -> 001 -> 011 -> 012,2,2,True
377,377,4,019 -> 001 -> 011 -> 002,3,2,False
378,378,5,019 -> 001 -> 005 -> 002 -> 003,4,4,True
379,379,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
380,380,1,019,1,2,False
381,381,2,019 -> 001,2,14,False
382,382,2,019 -> 001,11,14,False
383,383,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
384,384,3,019 -> 001 -> 011,2,2,True
385,385,4,019 -> 001 -> 011 -> 010,8,8,True
386,386,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
387,387,3,019 -> 001 -> 011,12,2,False
388,388,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
389,389,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
390,390,4,019 -> 001 -> 014 -> 008,1,8,False
391,391,3,019 -> 001 -> 002,3,2,False
392,392,9,019 -> 001 -> 014 -> 008 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
393,393,4,019 -> 001 -> 011 -> 012,2,2,True
394,394,3,019 -> 001 -> 002,6,2,False
395,395,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
396,396,4,019 -> 001 -> 011 -> 002,3,2,False
397,397,4,019 -> 001 -> 011 -> 012,2,2,True
398,398,2,019 -> 001,2,14,False
399,399,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
400,400,3,019 -> 001 -> 011,2,2,True
401,401,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
402,402,4,019 -> 001 -> 011 -> 012,2,2,True
403,403,2,019 -> 001,2,14,False
404,404,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
405,405,4,019 -> 001 -> 002 -> 003,4,4,True
406,406,1,019,1,2,False
407,407,4,019 -> 001 -> 011 -> 012,2,2,True
408,408,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
409,409,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
410,410,4,019 -> 001 -> 011 -> 012,2,2,True
411,411,1,019,1,2,False
412,412,3,019 -> 001 -> 002,3,2,False
413,413,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
414,414,1,019,1,2,False
415,415,2,019 -> 001,11,14,False
416,416,1,019,1,2,False
417,417,1,019,1,2,False
418,418,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
419,419,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
420,420,4,019 -> 001 -> 011 -> 002,3,2,False
421,421,4,019 -> 001 -> 011 -> 012,2,2,True
422,422,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
423,423,7,019 -> 001 -> 010 -> 008 -> 001 -> 002 -> 003,4,4,True
424,424,4,019 -> 001 -> 011 -> 002,3,2,False
425,425,2,019 -> 001,5,14,False
426,426,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
427,427,3,019 -> 001 -> 011,12,2,False
428,428,10,019 -> 001 -> 005 -> 010 -> 008 -> 001 -> 005 -> 002 -> 003 -> 004,20,20,True
429,429,2,019 -> 001,11,14,False
430,430,3,019 -> 001 -> 011,2,2,True
431,431,2,019 -> 001,11,14,False
432,432,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
433,433,3,019 -> 001 -> 014,8,8,True
434,434,5,019 -> 001 -> 011 -> 002 -> 003,4,4,True
435,435,3,019 -> 001 -> 002,3,2,False
436,436,2,019 -> 001,11,14,False
437,437,1,019,1,2,False
438,438,4,019 -> 001 -> 002 -> 003,4,4,True
439,439,2,019 -> 001,11,14,False
440,440,4,019 -> 001 -> 011 -> 012,2,2,True
441,441,4,019 -> 001 -> 007 -> 008,1,8,False
442,442,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
443,443,1,019,1,2,False
444,444,3,019 -> 001 -> 011,2,2,True
445,445,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
446,446,3,019 -> 001 -> 011,2,2,True
447,447,3,019 -> 001 -> 011,12,2,False
448,448,3,019 -> 001 -> 011,2,2,True
449,449,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
450,450,3,019 -> 001 -> 002,3,2,False
451,451,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
452,452,2,019 -> 001,11,14,False
453,453,3,019 -> 001 -> 011,2,2,True
454,454,1,019,1,2,False
455,455,4,019 -> 001 -> 011 -> 012,2,2,True
456,456,4,019 -> 001 -> 011 -> 002,3,2,False
457,457,6,019 -> 001 -> 002 -> 006 -> 001 -> 002,3,2,False
458,458,3,019 -> 001 -> 011,12,2,False
459,459,3,019 -> 001 -> 011,12,2,False
460,460,5,019 -> 001 -> 002 -> 003 -> 004,20,20,True
461,461,1,019,1,2,False
462,462,1,019,1,2,False
463,463,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
464,464,3,019 -> 001 -> 014,8,8,True
465,465,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
466,466,1,019,1,2,False
467,467,3,019 -> 001 -> 011,12,2,False
468,468,6,019 -> 001 -> 011 -> 012 -> 002 -> 003,4,4,True
469,469,5,019 -> 001 -> 011 -> 012 -> 002,3,2,False
470,470,4,019 -> 001 -> 005 -> 002,3,2,False
471,471,2,019 -> 001,11,14,False
472,472,9,019 -> 001 -> 011 -> 010 -> 008 -> 001 -> 011 -> 002 -> 003,4,4,True
473,473,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
474,474,3,019 -> 001 -> 011,2,2,True
475,475,2,019 -> 001,11,14,False
476,476,2,019 -> 001,11,14,False
477,477,1,019,1,2,False
478,478,2,019 -> 001,11,14,False
479,479,2,019 -> 001,11,14,False
480,480,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
481,481,4,019 -> 001 -> 014 -> 008,1,8,False
482,482,3,019 -> 001 -> 005,2,2,True
483,483,2,019 -> 001,11,14,False
484,484,1,019,1,2,False
485,485,1,019,1,2,False
486,486,4,019 -> 001 -> 002 -> 003,4,4,True
487,487,6,019 -> 001 -> 011 -> 002 -> 003 -> 004,20,20,True
488,488,3,019 -> 001 -> 002,3,2,False
489,489,1,019,1,2,False
490,490,3,019 -> 001 -> 011,12,2,False
491,491,7,019 -> 001 -> 011 -> 012 -> 002 -> 003 -> 004,20,20,True
492,492,2,019 -> 001,11,14,False
